inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
AITS,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCIENCES",PVT,KDP,RAJAMPETA,COED,MEC,127841.0,127841.0,127841.0,127841.0,129349.0,129349.0,127841.0,127841.0,129558.0,129558.0,127841.0,127841.0,127841.0,127841.0,127841.0,127841.0,86609.0,155749.0,2019.0
AITS2,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES-2nd SHIFT,PVT,KDP,RAJAMPETA,COED,CSE,32198.0,32410.0,125010.0,125010.0,34605.0,39862.0,68210.0,68210.0,65525.0,65525.0,32198.0,32410.0,86607.0,86607.0,54314.0,67637.0,40573.0,37931.0,2019.0
AITS2,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES-2nd SHIFT,PVT,KDP,RAJAMPETA,COED,ECE,44789.0,46861.0,45571.0,48862.0,44789.0,46861.0,82979.0,96940.0,69301.0,90638.0,44789.0,46861.0,111714.0,111714.0,74568.0,74568.0,46417.0,44333.0,2019.0
AITS2,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES-2nd SHIFT,PVT,KDP,RAJAMPETA,COED,EEE,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,130110.0,130110.0,130150.0,130150.0,106901.0,130056.0,130056.0,130056.0,130056.0,130056.0,104696.0,85987.0,2019.0
AITS2,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES-2nd SHIFT,PVT,KDP,RAJAMPETA,COED,MEC,130056.0,130085.0,130056.0,130085.0,130515.0,130569.0,130110.0,130110.0,130150.0,130159.0,106901.0,104221.0,130146.0,130146.0,130056.0,130085.0,104696.0,85987.0,2019.0
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,CTR,TIRUPATHI,COED,CIV,90730.0,90730.0,130423.0,130423.0,127707.0,127707.0,129492.0,129492.0,126893.0,126893.0,92014.0,92014.0,117349.0,117349.0,112089.0,112089.0,107177.0,82199.0,2019.0
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,CTR,TIRUPATHI,COED,CSE,51116.0,81120.0,130157.0,130157.0,123224.0,123224.0,79622.0,98312.0,82873.0,99902.0,51116.0,81120.0,81162.0,107712.0,68861.0,81120.0,52683.0,51072.0,2019.0
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,CTR,TIRUPATHI,COED,ECE,54534.0,58401.0,130380.0,130380.0,110099.0,121730.0,103575.0,112501.0,113300.0,113300.0,111170.0,111170.0,109980.0,115735.0,100650.0,100650.0,58992.0,66164.0,2019.0
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,CTR,TIRUPATHI,COED,EEE,92436.0,100946.0,122485.0,122529.0,96041.0,124967.0,114129.0,129500.0,103284.0,103284.0,123646.0,123646.0,129439.0,129439.0,107912.0,112656.0,84967.0,123982.0,2019.0
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,CTR,TIRUPATHI,COED,MEC,114370.0,114370.0,128720.0,128720.0,127554.0,127554.0,114370.0,123157.0,114370.0,114370.0,114370.0,114370.0,117622.0,117622.0,114370.0,114370.0,108518.0,113247.0,2019.0
