INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,35000.0,145962.0,OC,BOYS,2022
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,AID,EAST GODAVARI,COED,JNTUK,35000.0,99222.0,OC,BOYS,2022
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CAI,EAST GODAVARI,COED,JNTUK,35000.0,114603.0,OC,BOYS,2022
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSC,EAST GODAVARI,COED,JNTUK,35000.0,87073.0,OC,BOYS,2022
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,35000.0,136288.0,OC,BOYS,2022
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,35000.0,119210.0,OC,BOYS,2022
KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,AID,EAST GODAVARI,GIRLS,JNTUK,35000.0,145747.0,OC,BOYS,2022
KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,CAI,EAST GODAVARI,GIRLS,JNTUK,35000.0,168209.0,OC,BOYS,2022
KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,CSM,EAST GODAVARI,GIRLS,JNTUK,35000.0,161583.0,OC,BOYS,2022
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,AIM,EAST GODAVARI,COED,JNTUK,38000.0,169131.0,OC,BOYS,2022
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,CIT,EAST GODAVARI,COED,JNTUK,38000.0,149492.0,OC,BOYS,2022
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,CSE,EAST GODAVARI,COED,JNTUK,38000.0,101712.0,OC,BOYS,2022
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,ECE,EAST GODAVARI,COED,JNTUK,38000.0,87832.0,OC,BOYS,2022
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PHE,EAST GODAVARI,COED,JNTUK,38000.0,60700.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,AGR,EAST GODAVARI,COED,JNTUK,35000.0,156584.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,AID,EAST GODAVARI,COED,JNTUK,35000.0,161341.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,CIV,EAST GODAVARI,COED,JNTUK,35000.0,72809.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,CSE,EAST GODAVARI,COED,JNTUK,35000.0,53042.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,ECE,EAST GODAVARI,COED,JNTUK,35000.0,82065.0,OC,BOYS,2022
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,MEC,EAST GODAVARI,COED,JNTUK,35000.0,142170.0,OC,BOYS,2022
LENO,LENORA COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,35000.0,102805.0,OC,BOYS,2022
LENO,LENORA COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,35000.0,83871.0,OC,BOYS,2022
LENO,LENORA COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,35000.0,153779.0,OC,BOYS,2022
LENO,LENORA COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,35000.0,76611.0,OC,BOYS,2022
LENO,LENORA COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,35000.0,167340.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,CAI,EAST GODAVARI,COED,JNTUK,63000.0,27913.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,CIV,EAST GODAVARI,COED,JNTUK,63000.0,155945.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,CSD,EAST GODAVARI,COED,JNTUK,63000.0,22807.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,63000.0,10942.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,CSM,EAST GODAVARI,COED,JNTUK,63000.0,21941.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,63000.0,32934.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,EEE,EAST GODAVARI,COED,JNTUK,63000.0,85317.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,INF,EAST GODAVARI,COED,JNTUK,63000.0,19838.0,OC,BOYS,2022
PRAG,PRAGATI ENGINEERING COLLEGE,MEC,EAST GODAVARI,COED,JNTUK,63000.0,129338.0,OC,BOYS,2022
PREC,DR PAUL RAJS ENGINEERING COLLEGE,CIV,EAST GODAVARI,COED,JNTUK,35000.0,65864.0,OC,BOYS,2022
PREC,DR PAUL RAJS ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,35000.0,87649.0,OC,BOYS,2022
PREC,DR PAUL RAJS ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,35000.0,173082.0,OC,BOYS,2022
PREC,DR PAUL RAJS ENGINEERING COLLEGE,EEE,EAST GODAVARI,COED,JNTUK,35000.0,166876.0,OC,BOYS,2022
PREC,DR PAUL RAJS ENGINEERING COLLEGE,MEC,EAST GODAVARI,COED,JNTUK,35000.0,120063.0,OC,BOYS,2022
PYDE,PYDAH COLL OF ENGINEERING,CAI,EAST GODAVARI,COED,JNTUK,35000.0,123130.0,OC,BOYS,2022
PYDE,PYDAH COLL OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,35000.0,51561.0,OC,BOYS,2022
PYDE,PYDAH COLL OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,35000.0,169131.0,OC,BOYS,2022
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,35000.0,127673.0,OC,BOYS,2022
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,35000.0,80354.0,OC,BOYS,2022
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,35000.0,126580.0,OC,BOYS,2022
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,35000.0,109151.0,OC,BOYS,2022
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,AIM,EAST GODAVARI,COED,JNTUK,43000.0,84009.0,OC,BOYS,2022
